"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_01805",7345.28717372099,-2.0149312239591,0.0595522420213114,-33.8346828862973,6.09717748665183e-251,8.65163478437705e-250
"PHJJKLOP_01050",2012.51117883556,2.78494225911878,0.0827972532364113,33.6356841593153,5.04913932195316e-248,7.13071845751309e-247
"PHJJKLOP_00782",29038.4502402774,-2.27076460055535,0.0676044914955854,-33.5889605900465,2.43149914720192e-247,3.41779739282749e-246
"PHJJKLOP_02722",1884.9850729232,3.01808673319339,0.0900814836148685,33.5039634348922,4.21987698194924e-246,5.90388396446543e-245
"PHJJKLOP_02461",4076.87814108333,-2.28997211894518,0.0683783801935897,-33.4897099413867,6.80513642121371e-246,9.47654811400645e-245
"PHJJKLOP_01109",6079.88386650452,-2.41430636622099,0.0721303349310524,-33.4714426118881,1.25512848945323e-245,1.73974754510323e-244
"PHJJKLOP_01256",934.236408420101,3.81043452952726,0.113956017979029,33.43776482457,3.87645028010843e-245,5.34842955697909e-244
"PHJJKLOP_00052",1325.8055700458,-2.76392946618827,0.0828023821234086,-33.3798303298679,2.6901248031443e-244,3.69460259661195e-243
"PHJJKLOP_00606",6628.44419101074,-1.92070958755739,0.0576398722988814,-33.3225857544911,1.81828105997356e-243,2.48581438062139e-242
"PHJJKLOP_00027",13463.8747550721,-1.95464354195358,0.0587280825217546,-33.282945024291,6.81567902279443e-243,9.27551954283933e-242
"PHJJKLOP_02519",2940.20106930395,-2.22481422192641,0.0668960426508389,-33.257785270479,1.5753376984365e-242,2.13419052901307e-241
"PHJJKLOP_00702",17924.1936365835,-2.15810479667524,0.0649250280885194,-33.2399516829297,2.85180369246129e-242,3.84608119604914e-241
"PHJJKLOP_02558",23116.5352193015,8.40673763050431,0.254546350064704,33.0263530723083,3.40017434059909e-239,4.56507711917205e-238
"PHJJKLOP_00120",4268.90293953277,-2.03548890943163,0.0617184323468033,-32.9802432115251,1.55957550505196e-238,2.08453975987749e-237
