"","ERR1797969","ERR1797970","ERR1797971","ERR1797972","ERR1797973","ERR1797974"
"PHJJKLOP_01636",7384.32187198685,6526.52574486521,6571.96454852107,2392.38756911913,2291.25199002749,2402.01871563629
"PHJJKLOP_01637",12769.2285773212,11874.939034953,12365.2350343217,4711.9475105634,4066.08894078426,3964.71818533862
"PHJJKLOP_01638",19667.2686554544,18674.0205530944,18938.2662870383,6859.45218162582,6265.83580981817,5899.01708505893
"PHJJKLOP_01639",2111.45634005818,2244.63504585847,2243.27892315205,1440.16633727035,1409.72245807939,1482.43399281844
"PHJJKLOP_01640",772.737577406414,833.46765451146,827.76245571374,830.234955493397,778.246524093957,847.246700441019
"PHJJKLOP_01641",2.31012728671574,2.96256275300282,5.33352097753698,9.10345345935743,11.7778868605605,3.96372725352524
"PHJJKLOP_01642",5.77531821678934,6.91264642367325,6.40022517304438,10.0137988052932,11.7778868605605,10.9002499471944
"PHJJKLOP_01643",0,1.97504183533521,0,1.82069069187149,0,1.98186362676262
"PHJJKLOP_01644",8.08544550350508,7.90016734134085,6.40022517304438,6.3724174215502,4.52995648483095,17.8367726408636
"PHJJKLOP_01645",1.15506364335787,0.987520917667607,1.0667041955074,8.19310811342168,3.62396518786476,3.96372725352524
"PHJJKLOP_01646",4.62025457343147,3.95008367067043,4.26681678202959,17.2965615727791,10.8718955635943,9.90931813381309
"PHJJKLOP_01647",25.4114001538731,22.712981106355,41.6014636247885,64.6345195614377,56.1714604119038,48.5556588556841
"PHJJKLOP_01648",137.452573559586,122.452593790783,122.670982483351,162.041471576562,163.98442475088,153.594431074103
"PHJJKLOP_01649",31.1867183706624,27.650585694693,28.8010132786997,59.1724474858233,54.3594778179714,64.4105678697851
"PHJJKLOP_01650",31.1867183706624,31.6006693653634,37.3346468427589,40.0551952211727,48.9235300361743,45.5828634155402
"PHJJKLOP_01651",1.15506364335787,0.987520917667607,1.0667041955074,2.73103603780723,2.71797389089857,3.96372725352524
"PHJJKLOP_01652",5.77531821678934,8.88768825900846,1.0667041955074,20.9379429565221,17.2138346423576,21.8004998943888
"PHJJKLOP_01653",0,0.987520917667607,5.33352097753698,4.55172672967871,6.34193907876333,1.98186362676262
"PHJJKLOP_01654",20.7911455804416,24.6880229416902,20.2673797146405,47.3379579886586,42.5815909574109,48.5556588556841
"PHJJKLOP_01655",124.74687348265,115.53994736711,112.003940528277,292.220856045373,277.233336871654,275.479044120004
"PHJJKLOP_01656",36.9620365874518,51.3510877187155,41.6014636247885,90.1241892476385,106.90697304201,117.920885792376
"PHJJKLOP_01657",3.4651909300736,4.93760458833803,3.20011258652219,3.64138138374297,5.43594778179714,6.93652269366916
"PHJJKLOP_01658",1940.50692084122,2079.71905260798,2033.1381966371,2711.91878554258,2710.72596052284,2704.25291871759
"PHJJKLOP_01659",246.028556035226,289.343628876609,261.342527899312,185.710450570892,183.916233284137,161.521885581153
"PHJJKLOP_01660",730.000222602173,700.152330626333,619.755137589797,344.110540763711,280.857302059519,288.361157693961
"PHJJKLOP_01661",39.2721638741675,46.4134831303775,40.5347594292811,36.4138138374297,33.521677987749,35.6735452817271
"PHJJKLOP_01662",47.3576093776726,40.4883576243719,55.4686181663846,30.9517417618153,29.8977127998843,49.5465906690654
"PHJJKLOP_01663",430.838738972485,462.15978946844,411.747819465855,175.696651765598,210.189980896156,187.286112729067
"PHJJKLOP_01664",267.974765259025,216.267080969206,377.613285209618,159.310435538755,167.608389938745,139.721385686765
"PHJJKLOP_01665",12.7057000769365,15.8003346826817,13.8671545415962,5.46207207561446,6.34193907876333,3.96372725352524
"PHJJKLOP_01666",11.5506364335787,4.93760458833803,8.53363356405917,11.8344894971647,15.4018520484252,12.882113573957
"PHJJKLOP_01667",2.31012728671574,4.93760458833803,7.46692936855177,8.19310811342168,9.0599129696619,7.92745450705047
"PHJJKLOP_01668",196.360819370838,184.666411603842,215.474247492494,249.434624786394,262.737476120195,236.832703398133
"PHJJKLOP_01669",617.959049196459,635.963470977939,628.288771153856,384.165735984883,420.379961792312,415.200429806768
"PHJJKLOP_01670",384.63619323817,377.232990549026,361.612722277007,315.889835039703,312.566997453336,329.980293855976
"PHJJKLOP_01671",366.155174944444,318.969256406637,346.678863539904,466.0968171191,416.755996604447,386.46340721871
"PHJJKLOP_01672",450.474820909569,445.371933868091,391.480439751214,355.03468491494,372.362423053104,326.016566602451
"PHJJKLOP_01673",472.421030133368,453.272101209431,453.349283090643,798.372868385646,713.015150712391,743.198860035982
"PHJJKLOP_01674",113.196237049071,113.564905531775,131.20461604741,106.510405474482,111.436929526841,120.89368123252
"PHJJKLOP_01675",570.601439818787,550.049151140857,540.81902712225,640.883123538763,613.356108046111,594.559088028785
"PHJJKLOP_01676",596.01283997266,580.662299588553,530.151985167176,1149.76617191684,1297.37953725558,1321.90303905067
"PHJJKLOP_01677",485.126730210305,553.999234811527,493.884042519924,654.538303727799,659.561664191386,669.869905845765
"PHJJKLOP_01678",12198.6271375024,11554.9822576287,11362.5330905448,12727.5382815276,12119.4455795167,11661.2855798712
"PHJJKLOP_01679",2067.56392161058,2088.60674086699,2091.80692739,1964.52525652933,1894.4278019563,1942.22635422737
"PHJJKLOP_01680",2548.07039724746,2397.70078809695,2394.7509189141,2004.58045175051,2132.70351305841,2018.52810385773
"PHJJKLOP_01681",3025.11168195426,2912.19918620177,2848.10020200475,1972.71836464275,1825.57246338687,1884.75230905125
"PHJJKLOP_01682",6549.21085783911,6599.60229277261,6688.23530583137,2964.08444636678,3016.04502760045,2945.04934936925
"PHJJKLOP_01683",2060.63353975044,1940.47860321685,2108.87419451812,1919.91833457848,1932.47943642888,1934.29889972031
"PHJJKLOP_01684",1763.78218340746,1631.38455598689,1747.26147224112,1066.01440009075,1173.25872957122,1180.19978973714
"PHJJKLOP_01685",1529.30426380582,1554.35792440881,1466.71826882267,1756.96651765598,1506.66352685477,1533.96244711427
"PHJJKLOP_01686",7973.40433009936,7571.32287575754,7296.25669727059,7543.12153642356,7332.18756634738,7123.80880639823
